,lat,long,satellite,time_utc,date,source,provinsi,kab_kota,kec2006,desaa2006,nama_kaw
304,-0.6148939999999999,101.229,LPN-NPP,06:43:15 AM,2016-06-30,LAPAN,SUMATERA BARAT,SIJUNJUNG,SIJUNJUNG,DURIAN GADANG,
305,1.17745,101.03,LPN-NPP,06:43:15 AM,2016-06-30,LAPAN,RIAU,SIAK,KECAMATAN KANDIS,PETANI,
306,1.14162,99.8486,LPN-NPP,06:43:15 AM,2016-06-30,LAPAN,SUMATERA UTARA,PADANG LAWAS,BARUMUN,BATANG BULU TANGGAL,
307,-3.0973,104.49799999999999,LPN-NPP,06:43:15 AM,2016-06-30,LAPAN,SUMATERA SELATAN,MUARAENIM,GELUMBANG,GEDUNG BURUK,
308,-1.50675,101.994,LPN-NPP,06:43:15 AM,2016-06-30,LAPAN,JAMBI,BUNGO,MUKO-MUKO BATIN VII,TANJUNG AGUNG,
309,0.579038,101.311,LPN-NPP,06:43:15 AM,2016-06-30,LAPAN,RIAU,KAMPAR,KECAMATAN TAPUNG,PANTAI CERMIN,
310,1.13704,99.86399999999999,LPN-NPP,06:43:15 AM,2016-06-30,LAPAN,SUMATERA UTARA,PADANG LAWAS,BARUMUN,BATANG BULU TANGGAL,
312,-2.2157400000000003,100.979,LPN-NPP,06:43:15 AM,2016-06-30,LAPAN,SUMATERA BARAT,PESISIR SELATAN,LUNANG SILAUT,LUNANG,
315,-1.1871399999999999,101.40100000000001,LPN-NPP,06:03:58 AM,2016-07-02,LAPAN,SUMATERA BARAT,SOLOK SELATAN,SANGIR BATANGHARI,RANAH TANJUNG BUNGO,
316,-1.0182200000000001,100.78399999999999,LPN-NPP,06:03:58 AM,2016-07-02,LAPAN,SUMATERA BARAT,SOLOK,LEMBAH GUMANTI,SUNGAI NANAM BARAT,
318,2.57996,97.99,LPN-NPP,06:03:58 AM,2016-07-02,LAPAN,ACEH,ACEH SINGKIL,SURO MAKMUR,KAMPONG LAE BANGUN,
319,2.26403,98.4022,LPN-NPP,06:03:58 AM,2016-07-02,LAPAN,SUMATERA UTARA,HUMBANG HASUNDUTAN,PARLILITAN,SITANDUK,
