Lat,Long,Satellite,Time_UTC,Date,Source,PROVINSI,KAB_KOTA,kec2006,desaa2006,nama_kaw
0.931457,110.128,LPN-NPP,06:04:42 AM,20160819,LAPAN,KALIMANTAN BARAT,LANDAK,AIR BESAR,MERAYUH,CA NIYUT PENRISSEN
0.394562,109.067,LPN-NPP,06:04:42 AM,20160819,LAPAN,KALIMANTAN BARAT,PONTIANAK,MEMPAWAH HILIR,ANTIBAR,
-3.40022,103.112,LPN-NPP,06:37:34 AM,20160812,LAPAN,SUMATERA SELATAN,MUSIRAWAS,MUARA BELITI,RANTAU SERIK,
3.97035,97.4478,LPN-NPP,06:37:34 AM,20160812,LAPAN,ACEH,GAYOLUES,PINDING,GAJAH,
-8.2997,125.033,LPN-NPP,04:55:09 AM,20160812,LAPAN,NUSA TENGGARA TIMUR,ALOR,ALOR TIMUR,KOLANA SELATAN,
-8.30083,125.025,LPN-NPP,04:55:09 AM,20160812,LAPAN,NUSA TENGGARA TIMUR,ALOR,ALOR TIMUR,KOLANA SELATAN,
-2.89691,112.914,LPN-NPP,05:58:18 AM,20160814,LAPAN,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,MENTAYA HILIR SELATAN,BASIRIH HILIR,
1.33592,100.825,LPN-NPP,05:58:18 AM,20160814,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PUJUD,SIARANG ARANG,
-0.877362,112.071,LPN-NPP,05:58:18 AM,20160814,LAPAN,KALIMANTAN TENGAH,KATINGAN,KATINGAN HULU,TUMBANG KAJAMEI,
-2.00711,105.508,LPN-NPP,06:17:13 AM,20160813,LAPAN,BANGKA BELITUNG,BANGKA BARAT,SIMPANG TERITIP,BERANG,
0.258525,100.315,LPN-NPP,06:17:13 AM,20160813,LAPAN,SUMATERA BARAT,KOTA PASAMAN,MAPAT TUNGGUL,MUARO SUNGAI LOLO,
1.77911,101.492,LPN-NPP,06:17:13 AM,20160813,LAPAN,RIAU,BENGKALIS,KECAMATAN RUPAT,TANJUNG KAPAL,
-0.458263,111.606,LPN-NPP,06:17:13 AM,20160813,LAPAN,KALIMANTAN BARAT,MELAWI,BELIMBING,NANGA KEBERAK,
-1.15068,109.67,LPN-NPP,06:17:13 AM,20160813,LAPAN,KALIMANTAN BARAT,KAYONG UTARA,PULAU MAYA/KARIMATA,TANJUNG SATAI,
1.44536,115.351,LPN-NPP,05:14:04 AM,20160811,LAPAN,KALIMANTAN UTARA,MALINAU,KAYAN HULU,LONG LEBUSAN,
1.4349,115.337,LPN-NPP,05:14:04 AM,20160811,LAPAN,KALIMANTAN UTARA,MALINAU,KAYAN HULU,LONG LEBUSAN,
-0.0956039,112.792,LPN-NPP,05:14:04 AM,20160811,LAPAN,KALIMANTAN BARAT,SINTANG,AMBALAU,NANGA KESANGE,
-0.266716,112.805,LPN-NPP,05:14:04 AM,20160811,LAPAN,KALIMANTAN BARAT,SINTANG,AMBALAU,NANGA KESANGE,
-0.0906314,112.787,LPN-NPP,05:14:04 AM,20160811,LAPAN,KALIMANTAN BARAT,SINTANG,AMBALAU,NANGA KESANGE,
